namep,cntrcd,rgn,ind,tnp,nnp,adr,datein,pttype,srvcs,xchtype,uid,participantstatus,regn,prntbic,englname
"ООО НКО ""МОБИ.Деньги""",RU,45,125009,г,Москва,"Пер. Гнездниковский Б., д. 7",2014-01-17,20,5,1,4525678000,PSAC,3523-К,,"Nonbank credit organization ""MOBI.Money"" Limited Liability Company (NCO ""MOBI.Money"" LLC)"
Филиал ООО Банк Оранжевый в г. Москве,RU,45,107078,г,Москва,"ул. Мясницкая, д. 48",2010-08-27,30,3,1,4525917000,PSAC,1659/8,044030904,
"""Нацинвестпромбанк"" (АО)",RU,45,119121,г,Москва,"2-й Неопалимовский переулок, дом 10",1994-11-15,20,5,1,4525413000,PSAC,3077,,"""National Investment Industrial Bank"" (Joint Stock Company) (""Natsinvestprombank"" (JSC))"
"АО КБ ""Соколовский""",RU,45,119002,г,Москва,"ул. Арбат, д. 43, стр. 3",1994-07-13,20,3,1,4525901000,PSAC,2830,,
РКЦ БУЗУЛУК,,53,461040,г,Бузулук,"ул. Галактионова, зд. №30",1994-01-20,10,3,1,5306000000,PSAC,,045354001,
"""Коммерческий Индо Банк"" ООО",RU,45,109147,г,Москва,"Марксистская ул., дом 16",2004-02-19,20,3,1,4525500000,PSAC,3446,,"""Commercial Indo Bank"" Limited liability company (""Commercial Indo Bank"" LLC)"
"ООО ""АТБ"" Банк",RU,45,123007,г,Москва,"1-я Магистральная улица, д. 13, стр.2",1994-05-10,20,5,1,4525097000,PSAC,2776,,"""Autotorgbank"" Limited Company (""ATB"" Bank LTD)"
"АО ""ПроБанк""",RU,45,127473,г,Москва,"улица Селезнёвская, дом 15А, строение 1",1996-09-10,20,5,1,4525203000,PSAC,3296,,"Joint-Stock Company ""Professional Bank"" (JSC ""ProBank"")"
"КБ ""РБА"" (ООО)",RU,45,119049,г,Москва,"Ленинский проспект, дом 11, строение 3",2002-09-13,20,3,1,4525082000,PSAC,3413,,"Commercial bank ""RBA"" (Limited Liability Company) (CB ""RBA"" (LLC))"
"Московский филиал ПАО ""МЕТКОМБАНК""",RU,45,117452,г,Москва,"Балаклавский проспект, дом 28 ""В"", строение ""Б""",2000-07-28,30,3,1,4525200000,PSAC,2443/1,046577881,the Moscow branch of Public Joint-Stock Company METKOMBANK (the Moscow branch of PJSC METKOMBANK)
"Московский филиал АО Банк ""ПСКБ""",RU,45,105005,г,Москва,"ул. Бакунинская, д. 17/28",2003-12-11,30,3,1,4525606000,PSAC,2551/1,044030852,
"ООО КБ ""Столичный Кредит""",RU,45,105005,г,Москва,"ул. Бауманская, д. 54, стр. 1",1994-11-15,20,3,1,4525683000,PSAC,2853,,"Commercial Bank ""Capital Kredit"", Ltd (""Capital Kredit"", Ltd)"
"Банк ""РЕСО Кредит"" (АО)",RU,45,119285,г,Москва,"Воробьёвское шоссе, дом 6",2004-04-05,20,5,1,4525451000,PSAC,3450,,Bank RESO Credit
"КАЗАНСКИЙ ФИЛИАЛ АО ""АВТОГРАДБАНК""",RU,92,420012,г,Казань,"ул Щепкина, 2/27",1999-11-19,30,3,1,9205910000,PSAC,1455/4,049205878,
"ФИЛИАЛ №4 ПАО КБ ""ЦЕНТР-ИНВЕСТ""",RU,07,355017,г,Ставрополь,"ул. Мира, 284/1",2006-10-05,30,3,1,0702734000,PSAC,2225/4,046015762,
"АО ""НК Банк""",RU,45,125047,г,Москва,"Миусская площадь, дом 2",1995-12-14,20,5,1,4525278000,PSAC,2755,,NK Bank (joint stock company) (NK Bank)
"ООО РНКО ""Металлург""",RU,45,117292,г,Москва,"ул. Ивана Бабушкина, д.16А",2021-05-26,20,3,1,4525125000,PSAC,2877-К,,
Азия-Инвест Банк (АО),RU,45,119180,г,Москва,"2-й Казачий пер., д. 3, стр. 1",1996-12-31,20,3,1,4525234000,PSAC,3303,,"Commercial bank ""Asia-Invest Bank"" (joint-stock company) (Asia-Invest Bank)"
"АО Банк ""Развитие-Столица""",RU,45,105064,г,Москва,"Нижний Сусальный переулок, дом 5, строение 15",1994-10-11,20,5,1,4525984000,PSAC,3013,,Development Capital Bank
НКО НКЦ (АО),RU,45,125009,г,Москва,"Большой Кисловский переулок, дом 13",2015-06-05,20,3,1,4525646000,PSAC,3466-ЦК,,Central Counterparty National Clearing Centre (CCP NCC)
"АО БАНК ""МОСКВА-СИТИ""",RU,45,115114,г,Москва,"2-й Кожевнический пер., д. 7",1995-09-22,20,5,1,4525800000,PSAC,3247,,"""MOSCOW-CITY"" BANK"
"""Республиканский Кредитный Альянс"" ООО",RU,45,109004,г,Москва,"ул. Воронцовская, д. 13/14, стр. 1",1994-09-20,20,3,1,4525860000,PSAC,3017,,"Commercial bank ""Republic Credit Alliance"" (""Republic Credit Alliance"")"
"АО ""Эм-Ю-Эф-Джи Банк (Евразия)""",RU,45,125009,г,Москва,"Романов пер., 4, стр.2",2006-10-02,20,3,1,4525361000,PSAC,3465,,Joint Stock Company MUFG Bank (Eurasia) (AO MUFG Bank (Eurasia))
"ПАО Банк ""ФК Открытие""",RU,45,115114,г,Москва,"ул. Летниковская, д. 2, стр. 4",1994-01-20,20,5,1,4525985000,PSAC,2209,,"Public Joint-Stock Company ""Bank Otkritie Financial Corporation"" (""Bank Otkritie Financial Corporation"" (Public Joint-Stock Company))"
"КБ ""Максима"" (ООО)",RU,45,105118,г,Москва,"улица Вольная, дом 13",2001-10-19,20,3,1,4525435000,PSAC,3379,,
"Филиал ""Корпоративный"" ПАО ""Совкомбанк""",RU,45,119991,г,Москва,"ул. Вавилова, д. 24",2018-10-24,30,3,1,4525360000,PSAC,963/10,043469743,
"Московский филиал АО ""БКС Банк""",RU,45,129110,г,Москва,"Проспект Мира, д. 69, стр. 1",2009-04-30,30,5,1,4525099000,PSAC,101/1,044525631,
"АО ""БКС Банк""",RU,45,129110,г,Москва,"Проспект Мира, д. 69, стр. 1",2019-03-18,20,3,1,4525631000,PSAC,101,,"""BCS Bank"" AO (""BCS Bank"" AO)"
ОТДЕЛЕНИЕ-НБ РЕСПУБЛИКА БУРЯТИЯ БАНКА РОССИИ,,81,670042,г,Улан-Удэ,"проспект Строителей, здание 7",1994-01-20,12,3,1,8142001000,PSAC,,045004001,
Избирательная комиссия Новосибирской области,RU,50,630011,г,Новосибирск,"Красный пр-т, 18",2009-12-18,99,3,1,5004001008,PSAC,,,
"ФИЛИАЛ ""ЦЕНТРАЛЬНЫЙ"" ПАО ""СОВКОМБАНК""",RU,50,633011,г,Бердск,"ул Попова, 11",2009-05-07,30,3,1,5004763000,PSAC,963/8,043469743,"PJSC SOVCOMBANK, CENTRAL BRANCH"
"СИБИРСКИЙ ФИЛИАЛ АО ""РАЙФФАЙЗЕНБАНК""",RU,50,630099,г,Новосибирск,"ул Урицкого, 20",2005-11-21,30,3,1,5004799000,PSAC,3292/4,044525700,Sibirskiy filial AO Raiffeisenbank
"Московский филиал АО ""Банк ""Агророс""",RU,45,111397,г,Москва,"проспект Зеленый, д.20",2008-05-29,30,3,1,4525688000,PSAC,2860/1,046311772,
"БАНК ""МСКБ"" (АО)",RU,47,183038,г,Мурманск,"ул. Челюскинцев, 17/24",1994-07-13,20,3,1,4705768000,PSAC,2722,,
ПУ БАНКА РОССИИ КАЗБЕКСКОЕ,,90,362049,г,Владикавказ,"ул. В. Абаева, д. 110, стр.29",1997-09-23,40,3,1,9082002000,PSAC,,040349001,
СИБИРСКИЙ БАНК ПАО СБЕРБАНК,RU,50,630007,г,Новосибирск,"ул Серебренниковская, 20",1995-01-10,30,3,1,5004641000,PSAC,1481/982,044525225,SBERBANK (SIBIRSKY HEAD OFFICE)
"Ф-Л БАНКА ГПБ (АО) ""ЗАПАДНО-СИБИРСКИЙ""",RU,50,630105,г,Новосибирск,"ул Кавалерийская, 2",2001-03-12,30,3,1,5004783000,PSAC,354/29,044525823,GAZPROMBANK (JOINT-STOCK COMPANY) (ZAPADNO-SIBIRSKY BRANCH)
"НФ АКБ ""ЛАНТА-БАНК"" (АО)",RU,50,630007,г,Новосибирск,"ул Октябрьская Магистраль, 2",1994-12-09,30,3,1,5004837000,PSAC,1920/1,044525348,"COMMERCIAL BANK ""LANTA-BANK"" (NOVOSIBIRSK BRANCH)"
ПУ БАНКА РОССИИ КАЗАЧЬЕ,,05,692512,г,Уссурийск,"ул. Ленинградская, д. 41 ж, военный городок № 21",1994-01-20,40,3,1,0582002000,PSAC,,040507001,
"АО ""Экспобанк""",RU,45,107078,г,Москва,"ул. Каланчевская, д.  29, стр.  2",1995-01-26,20,5,1,4525460000,PSAC,2998,,Expobank Joint stock company (Expobank JSC)
Федеральное казначейство,RU,45,101000,г,Москва,"Большой Златоустинский пер., д.6, стр. 1",2005-02-11,51,3,1,4501002900,PSAC,,,
"Филиал АО ""Экспобанк"" в г. Южно-Сахалинске",RU,64,693008,г,Южно-Сахалинск,"ул Чехова, 78",2016-07-12,30,3,1,6401444000,PSAC,2998/13,044525460,
"Филиал АО ""Экспобанк"" в г. Новосибирске",RU,50,630099,г,Новосибирск,"Красный проспект, дом 25",2013-10-28,30,3,1,5004861000,PSAC,2998/10,044525460,
"ВОЛГОГРАДСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""",RU,18,400074,г,Волгоград,"ул Баррикадная, 1 Б",2001-11-12,30,3,1,1806863000,PSAC,3349/46,044525111,
КАЛУЖСКОЕ ОТДЕЛЕНИЕ N8608 ПАО СБЕРБАНК,RU,29,248001,г,Калуга,"ул Кирова, 21 А",1994-01-20,30,3,1,2908612000,PSAC,1481/488,044525225,
"АО КОМБАНК ""АРЗАМАС""",RU,22,607220,г,Арзамас,"ул Кирова, 33",1994-01-20,20,3,1,2202731000,PSAC,1281,,
"АО ""УГЛЕМЕТБАНК""",RU,75,454138,г,Челябинск,"ул Молодогвардейцев, 17 Б",1995-02-28,20,5,1,7501787000,PSAC,2997,,"Joint-Stock Company ""Coalmetbank"""
"БАНК ""КУБ"" (АО)",RU,75,455044,г,Магнитогорск,"ул Гагарина, 17",1994-01-20,20,5,1,7516949000,PSAC,2584,,"""Credit Ural Bank"" Joint Stock Company, (""CUB"" JSC)"
"ПАО ""БАНК ""ЕКАТЕРИНБУРГ""",RU,65,620014,г,Екатеринбург,"ул 8 Марта, 13",1995-01-18,20,5,1,6577904000,PSAC,3161,,
"КАБАРДИНО-БАЛКАРСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""",RU,83,360030,г,Нальчик,"пр-т Кулиева, 10 А",2001-07-27,30,3,1,8327710000,PSAC,3349/44,044525111,
"Ф-л Банка ГПБ (АО) ""Приволжский""",RU,22,603000,г,Нижний Новгород,"ул Максима Горького, 65 Б",1994-01-20,30,3,1,2202764000,PSAC,354/4,044525823,GAZPROMBANK (JOINT - STOCK COMPANY)(PRIVOLZHSKY BRANCH)
"АО АКИБ ""ПОЧТОБАНК""",RU,57,614096,г,Пермь,"ул Ленина, 68",1994-01-20,20,3,1,5773705000,PSAC,1788,,
"АО ""ИТ Банк""",RU,52,644024,г,Омск,"ул. Думская, 7",2018-09-07,20,3,1,5209702000,PSAC,2609,,
"РНКО ""ПРОМСВЯЗЬИНВЕСТ"" (ООО)",RU,82,367003,г,Махачкала,"ул Ирчи Казака, 2 Б",1994-11-15,20,3,1,8209395000,PSAC,2761-К,,
"ФИЛИАЛ ""ДЕЛО"" ПАО БАНК СИНАРА",RU,65,620026,г,Екатеринбург,"ул Куйбышева, 58",2018-02-26,30,3,1,6577743000,PSAC,705/45,046577756,
"ООО НКО ""МУРМАНСКИЙ РАСЧЕТНЫЙ ЦЕНТР""",RU,47,183071,г,Мурманск,"ул Старостина, 21",1999-08-27,20,3,1,4705301000,PSAC,3341-К,,
"ЮЖНЫЙ ФИЛИАЛ АО ""БАНК ИНТЕЗА""",RU,60,344002,г,Ростов-на-Дону,"Буденновский проспект, д.2А/23Б",2007-12-29,30,3,1,6015064000,PSAC,2216/9,044525922,
Избирательная комиссия Республики Алтай,RU,84,649000,г,Горно-Алтайск,"ул Э.Палкина, 1",2000-01-01,99,1,0,8405001001,PSAC,,,
"АО ""КУЗНЕЦКБИЗНЕСБАНК""",RU,32,654080,г,Новокузнецк,"ул. Кирова, 89б",1994-01-20,20,5,1,3209740000,PSAC,1158,,Kuznetskbusinessbank (joint-stock company)
ЮЖНЫЙ ФИЛИАЛ ПАО РОСБАНК,RU,60,344019,г,Ростов-на-Дону,"проспект Шолохова, д.22",2004-12-23,30,3,1,6015239000,PSAC,2272/26,044525256,
ЮГ-ИНВЕСТБАНК (ПАО),RU,03,350000,г,Краснодар,"ул Красная, 113",1998-01-15,20,5,1,0349966000,PSAC,2772,,
"ПАО ""ТОМСКПРОМСТРОЙБАНК""",RU,69,634061,г,Томск,"пр-т Фрунзе, 90",1994-01-20,20,5,1,6902728000,PSAC,1720,,"PJSC ""Tomskpromstroybank"""
"ФИЛИАЛ ""НОВОСИБИРСКИЙ"" АО ""АЛЬФА-БАНК""",RU,50,630004,г,Новосибирск,"ул Ленина, 52",2000-04-14,30,3,1,5004774000,PSAC,1326/15,044525593,
АО ЕАТПБАНК,RU,12,414000,г,Астрахань,"ул Ногина, 3",1994-01-20,20,3,1,1203715000,PSAC,1765,,
УФК по Белгородской области,RU,14,308000,г,Белгород,"ул. Богдана Хмельницкого, д. 139",2022-05-17,52,1,0,1480002003,PSAC,,,
УРАЛЬСКИЙ ФИЛИАЛ ПАО РОСБАНК,RU,65,620014,г,Екатеринбург,"ул Хохрякова, 41",2004-12-30,30,3,1,6577903000,PSAC,2272/38,044525256,
"ФИЛИАЛ БАНКА ""ВБРР"" (АО) В Г. КРАСНОДАРЕ",RU,03,350063,г,Краснодар,"ул Орджоникидзе, 13/1",2001-11-23,30,3,1,0349521000,PSAC,3287/3,044525880,
"БАНК ""НАЛЬЧИК"" ООО",RU,83,360051,г,Нальчик,"ул Толстого, 77",1994-01-20,20,3,1,8327741000,PSAC,695,,
ИК ЧР,RU,96,364021,г,Грозный,"пр-т А.А.Кадырова, 3/25",2000-01-01,99,1,1,9690001003,PSAC,,,
"КБ ""Новый век"" (ООО)",RU,45,115093,г,Москва,"ул. Щипок, д. 4, стр. 1",2002-10-07,20,5,1,4525517000,PSAC,3417,,
"АО КБ ""МОДУЛЬБАНК""",RU,34,156005,г,Кострома,"Октябрьская пл, 1",1994-01-20,20,5,1,3469751000,PSAC,1927,,"Joint stock company Commercial Bank ""Modulbank"""
"КУ Банк ""Уссури"" (АО) - ГК ""АСВ""",RU,45,109240,г,Москва,"ул. Высоцкого, д. 4",1994-01-20,90,1,0,0813700000,PSAC,596,,
"БАНК ""ВЯТИЧ"" (ПАО)",RU,61,390046,г,Рязань,"ул Введенская, 110",1994-06-15,20,3,1,6126701000,PSAC,2796,,
"АО ""Банк ""Торжок""",RU,28,172002,г,Торжок,"пл Ананьина, 3",2015-11-16,20,3,1,2809953000,PSAC,933,,
"ООО ""КРОНА-БАНК""",RU,25,664007,г,Иркутск,"ул Дзержинского, 29",1994-01-20,20,3,1,2520840000,PSAC,2499,,
Ф-л Азиатско-Тихоокеанский Банк АО в г.Москва,RU,45,125009,г,Москва,"пер. Вознесенский, д. 11, стр. 1",2008-12-01,30,3,1,4525754000,PSAC,1810/19,041012765,
Избирательная комиссия Калужской области,RU,29,248001,г,Калуга,"ул Ленина, 74, стр 1 Б",2000-01-01,99,1,0,2908001003,PSAC,,,
"АКБ ""НООСФЕРА"" (АО)",RU,84,649000,г,Горно-Алтайск,"Коммунистический пр-т, 26",1994-01-20,20,3,1,8405718000,PSAC,2650,,NOOSFERA-BANK
"ООО КБ ""КАЛУГА""",RU,29,248001,г,Калуга,"ул Суворова, 147",1994-01-20,20,3,1,2908748000,PSAC,1151,,
"АО БАНК ""ТКПБ""",RU,68,392000,г,Тамбов,"ул Советская, 118",1994-01-20,20,3,1,6850755000,PSAC,1312,,"Joint-Stock Company Bank ""Tambovkreditprombank"""
"ООО ""КОСТРОМАСЕЛЬКОМБАНК""",RU,34,156013,г,Кострома,"ул Калиновская, 36",1994-01-20,20,3,1,3469720000,PSAC,1115,,
ПРИО-ВНЕШТОРГБАНК (ПАО),RU,61,390023,г,Рязань,"ул Есенина, 82/26",1994-01-20,20,5,1,6126708000,PSAC,212,,Prio-Vneshtorgbank (public joint stock company)
"ФИЛИАЛ ПАО ""БАНК УРАЛСИБ"" В Г. ЕКАТЕРИНБУРГ",RU,65,620075,г,Екатеринбург,"ул Розы Люксембург, 15",2001-10-05,30,3,1,6577446000,PSAC,2275/20,044525787,
"ОАО ""Коммерческий банк КЫРГЫЗСТАН""",KG,00,720033,г,Бишкек,"ул. Тоголок Молдо, №54 ""А""",2022-06-28,71,6,0,1000000010,PSAC,,,"""Commercial bank KYRGYZSTAN"" Open joint-stock company"
ИЗБИРАТЕЛЬНАЯ КОМИССИЯ ВОЛОГОДСКОЙ  ОБЛАСТИ,RU,19,160000,г,Вологда,"ул Герцена, 2",2000-01-01,99,3,1,1909001170,PSAC,,,
АО БАНК НБС,RU,24,153000,г,Иваново,"улица Палехская, дом 2",1994-01-20,20,3,1,2406718000,PSAC,1949,,
"ЧФ АО ""СМП БАНК""",RU,75,454091,г,Челябинск,"ул. Цвиллинга, д. 60",2005-09-08,30,3,1,7501988000,PSAC,3368/4,044525503,
"ООО КБ ""ЭКО-ИНВЕСТ""",RU,45,109240,г,Москва,"ул. Верхняя Радищевская, д. 18, стр. 2",1995-07-27,20,3,1,4525440000,PSAC,3116,,
"КРАСНОДАРСКИЙ ФИЛИАЛ ПАО ""РОСДОРБАНК""",RU,03,350000,г,Краснодар,"ул Орджоникидзе, 41",2007-11-26,30,3,1,0349815000,PSAC,1573/8,044525666,
"ФИЛИАЛ ""ПРИВОЛЖСКИЙ"" ПАО БАНК ЗЕНИТ",RU,92,420111,г,Казань,"ул Тельмана, 21-1",2004-09-02,30,3,1,9205702000,PSAC,3255/9,044525272,
"Ф-Л БАНКА ГПБ (АО) ""ЦЕНТРАЛЬНО-ЧЕРНОЗЕМНЫЙ""",RU,20,394018,г,Воронеж,"ул Кирова, 11",2013-07-15,30,3,1,2007800000,PSAC,354/49,044525823,
"ООО БАНК ""КУРГАН""",RU,37,640000,г,Курган,"ул Гоголя, 78",1994-01-20,20,3,1,3735830000,PSAC,2568,,
"ФИЛИАЛ АО АКБ ""НОВИКОМБАНК"" В Г. ТОЛЬЯТТИ",RU,36,445051,г,Тольятти,"ул Маршала Жукова, 8",2011-05-13,30,3,1,3678944000,PSAC,2546/4,044525162,
"ООО КБ ""КЕТОВСКИЙ""",RU,37,640002,г,Курган,"ул Коли Мяготина, 124 А",1994-01-20,20,3,1,3735821000,PSAC,842,,
"АО КБ ""Урал ФД""",RU,57,614000,г,Пермь,"ул Ленина, 64",1994-01-20,20,5,1,5773790000,PSAC,249,,BANK URAL FD
"ООО КБ ""ДРУЖБА""",RU,71,625048,г,Тюмень,"ул Максима Горького, 68, к 2/1",2019-09-27,20,3,1,7102802000,PSAC,990,,
"СИБИРСКИЙ ФИЛИАЛ АО ""БАНК ИНТЕЗА""",RU,50,630132,г,Новосибирск,"ул. Красноярская, д. 35",2001-02-23,30,3,1,5004883000,PSAC,2216/4,044525922,
"АО БАНК ""ЕРМАК""",RU,71,628624,г,Нижневартовск,"ул Мира, 68",1994-01-20,20,3,1,7169742000,PSAC,1809,,
"АО КБ ""ПРИОБЬЕ""",RU,71,628616,г,Нижневартовск,"пр-т Победы, 18 А",1994-01-20,20,3,1,7169777000,PSAC,537,,
"АО ""БАНК ОРЕНБУРГ""",RU,53,460024,г,Оренбург,"ул Маршала Г.К. Жукова, 25",1995-11-27,20,5,1,5354885000,PSAC,3269,,JSC BANK ORENBURG
"АКБ ""ФОРШТАДТ"" (АО)",RU,53,460058,г,Оренбург,"ул Чкалова, 35/1",1994-05-01,20,5,1,5354860000,PSAC,2208,,FORSHTADT BANK
"ПАО ""НИКО-БАНК""",RU,53,460000,г,Оренбург,"ул Правды, 14",1994-01-20,20,5,1,5354814000,PSAC,702,,
"ПАО ""ЧЕЛИНДБАНК""",RU,75,454091,г,Челябинск,"ул Карла Маркса, 80",1994-01-20,20,5,1,7501711000,PSAC,485,,"PJSC ""CHELINDBANK"""
"КБ ""СТРОЙЛЕСБАНК"" (ООО)",RU,71,625000,г,Тюмень,"ул Республики, 65",1994-09-20,20,5,1,7102658000,PSAC,2995,,
Избирательная комиссия Мурманской области,RU,47,183006,г,Мурманск,"пр-т Ленина, 75",2000-01-01,99,3,1,4705001928,PSAC,,,
"АМУРСКИЙ ФИЛИАЛ ООО ""КРОНА-БАНК""",RU,10,675000,г,Благовещенск,"ул Калинина, 4, пом. IX",2011-04-22,30,3,1,1012764000,PSAC,2499/1,042520840,
